代码,名称,收盘价,涨跌幅,换手率,龙虎榜净买额(万),市场总成交额(万),Ntransac,上榜原因,Oldid,龙虎榜卖出额(万),龙虎榜买入额(万),龙虎榜成交额(万),上榜日,净买额占总成交比,成交额占总成交比,流通市场(亿),上榜后1日,Rchange1do,上榜后2日,Rchange2do,Rchange3dc,Rchange3do,上榜后5日,Rchange5do,上榜后10日,Rchange10do,Rchange15dc,Rchange15do,Rchange20dc,Rchange20do,Rchange30dc,Rchange30do,Rchange1m,Rchange3m,Rchange6m,Rchange1y,SumCount,JGBSumCount,JGSSumCount,JGBMoney,JGSMoney,JGJMMoney,解读
000680,山推股份,5.27,10.0209,21.899,11102,1204020,231450000,日涨幅偏离值达到7%的前五只证券,3241810,68181,79283,147464,2019-04-19,0.92,12.25,56,0,,,,,,,,,,,,,,,,22.27378193,54.54545453,69.99999994,25.47619109,,,,,,,实力游资买入，成功率37.78%
000680,山推股份,5.27,10.0209,21.899,43539,1546990,307250000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3241824,72696,116235,188931,2019-04-19,2.81,12.21,56,0,,,,,,,,,,,,,,,,22.27378193,54.54545453,69.99999994,25.47619109,,,,,,,实力游资买入，成功率39.23%
000680,山推股份,5.27,10.0209,21.899,11102,1204020,231450000,日换手率达到20%的前五只证券,3241820,68181,79283,147464,2019-04-19,0.92,12.25,56,0,,,,,,,,,,,,,,,,22.27378193,54.54545453,69.99999994,25.47619109,,,,,,,实力游资买入，成功率37.78%
000723,美锦能源,20.04,-0.9392,29.567,-93535,6402780,319690000,日振幅值达到15%的前五只证券,3241814,441773,348238,790011,2019-04-19,-1.46,12.34,217,-7.1856,,,,,,,,,,,,,,,,211.1801242,379.42583735,495.27033945,289.17306545,,,,,,,主力做T，成功率47.84%
000723,美锦能源,20.04,-0.9392,29.567,-93535,6402780,319690000,日换手率达到20%的前五只证券,3241818,441773,348238,790011,2019-04-19,-1.46,12.34,217,-7.1856,,,,,,,,,,,,,,,,211.1801242,379.42583735,495.27033945,289.17306545,,,,,,,主力做T，成功率47.84%
000753,漳州发展,4.11,-8.2589,14.245,-86799,532260,125940000,日跌幅偏离值达到7%的前五只证券,3241813,117346,30547,147893,2019-04-19,-16.31,27.79,36,-3.6496,,,,,,,,,,,,,,,,11.38211379,32.58064512,61.81102362,22.6865667,,,,,,,实力游资卖出，成功率48.33%
000820,ST节能,5.52,-4.8276,18.04,14367,493420,87420000,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,3241826,36275,50642,86917,2019-04-19,2.91,17.62,16,-2.1739,,,,,,,,,,,,,,,,-9.35960651,1.65745795,-6.44067852,-62.08791234,,,,,,,主力做T，成功率36.03%
000836,富通鑫茂,5.72,10,20.196,-18096,1346050,244050000,日涨幅偏离值达到7%的前五只证券,3241809,122264,104168,226432,2019-04-19,-1.34,16.82,69,4.3706,,,,,,,,,,,,,,,,19.66527197,40.54054055,60.22408964,30.27069536,,,,,,,实力游资买入，成功率38.98%
000958,东方能源,9.55,-4.5,20.738,-115560,2218180,227970000,日换手率达到20%的前五只证券,3241821,254137,138577,392714,2019-04-19,-5.21,17.70,105,-9.0052,,,,,,,,,,,,,,,,97.31404956,175.21613827,230.44982683,131.86525137,,,,,,,普通席位卖出，成功率43.65%
000995,*ST皇台,8.52,5.0555,8.338,14183,122820,15100000,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,3241825,10678,24861,35539,2019-04-19,11.55,28.94,15,-4.3427,,,,,,,,,,,,,,,,83.62068959,88.07947008,82.44111347,17.19394742,,,,,,,实力游资买入，成功率90.00%
